,연도,과목,3수준비율(중),2수준비율(중),1수준비율(중),3수준비율(고),2수준비율(고),1수준비율(고)
0,2011,국어,81.4,17.2,1.4,85.2,12.8,2.0
1,2011,수학,64.5,31.5,4.0,80.9,14.7,4.4
2,2011,영어,70.7,28.0,1.3,83.4,13.0,3.6
3,2012,국어,83.8,15.2,1.0,83.5,14.4,2.1
4,2012,수학,66.7,29.8,3.5,81.1,14.6,4.3
5,2012,영어,73.9,24.0,2.1,84.2,13.2,2.6
6,2013,국어,86.1,12.6,1.3,83.6,13.5,2.9
7,2013,수학,66.3,28.5,5.2,85.2,10.3,4.5
8,2013,영어,74.9,21.7,3.4,85.0,12.2,2.8
9,2014,국어,87.3,10.7,2.0,86.5,12.2,1.3
10,2014,수학,66.8,27.5,5.7,84.5,10.1,5.4
11,2014,영어,75.2,21.5,3.3,84.7,9.4,5.9
12,2015,국어,82.6,14.8,2.6,81.2,16.2,2.6
13,2015,수학,66.2,29.2,4.6,80.3,14.2,5.5
14,2015,영어,70.4,26.2,3.4,83.9,11.7,4.4
15,2016,국어,90.1,7.9,2.0,83.7,13.0,3.3
16,2016,수학,68.2,26.9,4.9,77.8,16.9,5.3
17,2016,영어,74.7,21.3,4.0,85.7,9.1,5.2
18,2017,국어,84.9,12.5,2.6,75.1,19.9,5.0
19,2017,수학,67.6,25.3,7.1,75.8,14.3,9.9
20,2017,영어,72.6,24.2,3.2,81.5,14.4,4.1
21,2018,국어,81.3,14.3,4.4,81.6,15.0,3.4
22,2018,수학,62.3,26.6,11.1,70.4,19.2,10.4
23,2018,영어,65.8,28.9,5.3,80.4,13.4,6.2
24,2019,국어,82.9,13.0,4.1,77.5,18.5,4.0
25,2019,수학,61.3,26.9,11.8,65.5,25.5,9.0
26,2019,영어,72.6,24.1,3.3,78.8,17.6,3.6
27,2020,국어,75.4,18.2,6.4,69.8,23.4,6.8
28,2020,수학,57.7,28.9,13.4,60.8,25.7,13.5
29,2020,영어,63.9,29.0,7.1,76.7,14.7,8.6
30,2021,국어,74.4,19.6,6.0,64.3,28.6,7.1
31,2021,수학,55.6,32.8,11.6,63.1,22.7,14.2
32,2021,영어,63.3,29.8,5.9,74.5,15.7,9.8
